Pos,No.,Name,Team,Gender,Class,Time,Behind,Hardtail,eBike,S1: Rockshox Point n Shoot,,,S2: Peatys Castle,,,S3: Camelbak Grand Canyon,,,S4: Exposure Booze Cruise,,,S5: Fox Moor Line,,,S6: Topeak Rake n Ride,,,S7: Maxxis Thistle Hill,,,Bonus,Penalty Details
28th,93,Richard Thomas,SR75,M,Enduro | Master Male (30-39),20:08.9,+1:28.27,,,03:20.0,28th,+0:14.80,03:23.1,21st,+0:15.49,02:15.1,14th,+0:09.96,03:18.8,45th,+0:19.30,02:11.2,26th,+0:07.95,02:17.0,48th,+0:10.65,03:23.7,45th,+0:14.65,,
29th,37,Hamish Adamski,Rose Racing,M,Enduro | Senior Male (18-29),20:10.7,+1:30.14,,,03:21.7,35th,+0:16.46,03:19.4,12th,+0:11.74,02:19.6,42nd,+0:14.50,03:16.7,37th,+0:17.26,02:13.3,46th=,+0:10.05,02:16.6,43rd,+0:10.25,03:23.4,43rd,+0:14.41,,
30th,11,Lewis Brown,Merida Bikes,M,Enduro | Senior Male (18-29),20:14.0,+1:33.36,,,03:20.7,31st,+0:15.46,03:28.7,41st,+0:21.05,02:22.0,53rd,+0:16.90,03:15.8,33rd,+0:16.34,02:11.3,29th,+0:08.05,02:12.9,18th,+0:06.59,03:22.5,37th,+0:13.50,,
31st,201,Tom Housecroft,Fast Pies,M,Enduro | Senior Male (18-29),20:14.3,+1:33.75,,,03:25.0,38th,+0:19.75,03:34.6,59th,+0:26.95,02:17.3,27th=,+0:12.21,03:11.3,17th,+0:11.86,02:11.5,32nd,+0:08.25,02:11.8,14th,+0:05.45,03:22.8,40th,+0:13.81,,
32nd,78,David Houston,Studio Velo,M,Enduro | Master Male (30-39),20:16.2,+1:35.65,,,03:18.0,20th,+0:12.75,03:42.0,84th,+0:34.34,02:12.9,7th,+0:07.84,03:12.9,26th,+0:13.49,02:09.8,17th,+0:06.51,02:12.8,16th,+0:06.50,03:27.7,65th,+0:18.75,,
33rd,92,Josef Westgarth,Ride Nutrition,M,Enduro | Senior Male (18-29),20:16.9,+1:36.29,,,03:18.7,23rd,+0:13.45,03:21.8,17th,+0:14.18,02:20.7,50th,+0:15.59,03:14.5,30th,+0:15.00,02:16.0,78th,+0:12.79,02:19.8,76th,+0:13.40,03:25.4,50th,+0:16.41,,
34th,298,Sean Luke,Scott Sports UK,M,Enduro | Master Male (30-39),20:19.5,+1:38.95,,,03:32.2,59th,+0:26.94,03:26.2,34th,+0:18.54,02:19.2,38th,+0:14.11,03:18.6,44th,+0:19.20,02:10.2,20th,+0:06.95,02:16.3,39th,+0:09.99,03:16.8,13th=,+0:07.75,,
35th,1182,Samuel Theo Farrar,,M,Enduro | Master Male (30-39),20:19.8,+1:39.19,,,03:21.8,36th,+0:16.54,03:28.9,43rd,+0:21.20,02:16.1,18th,+0:10.95,03:16.6,36th,+0:17.11,02:11.0,24th,+0:07.75,02:14.5,27th=,+0:08.11,03:31.1,90th,+0:22.06,,
36th,299,Michael Tait,Scott Sports UK,M,Enduro | Senior Male (18-29),20:19.8,+1:39.22,,,03:37.0,82nd,+0:31.80,03:24.9,30th,+0:17.29,02:19.2,37th,+0:14.10,03:19.5,49th,+0:20.06,02:11.5,31st,+0:08.24,02:13.1,19th,+0:06.71,03:14.5,10th,+0:05.55,,
37th,13,Matt Hockenhull,Santa Cruz Bicycles,M,Enduro | Master Male (30-39),20:20.8,+1:40.26,,,03:34.0,66th,+0:28.75,03:21.2,15th,+0:13.50,02:17.3,27th=,+0:12.21,03:16.5,35th,+0:17.01,02:13.9,58th,+0:10.61,02:18.3,58th,+0:11.95,03:19.8,29th,+0:10.76,,
38th,5,Callum Crossland,Rose Racing,M,Enduro | Senior Male (18-29),20:21.0,+1:40.40,,,03:22.9,37th,+0:17.60,03:23.7,23rd,+0:16.09,02:21.1,51st,+0:15.99,03:21.8,60th,+0:22.36,02:12.3,39th,+0:09.04,02:17.1,49th=,+0:10.80,03:22.1,34th,+0:13.05,,
39th,1166,Andy Weames,Ride Southern Spain,M,Enduro | Master Male (30-39),20:24.7,+1:44.13,,,03:27.3,42nd,+0:22.06,03:23.3,22nd,+0:15.65,02:24.0,61st,+0:18.86,03:18.9,47th,+0:19.44,02:14.2,61st,+0:10.90,02:17.8,55th,+0:11.45,03:19.3,25th,+0:10.30,,
40th,73,Cameron Jackson,Hope Schwalbe,M,Enduro | Senior Male (18-29),20:25.9,+1:45.35,,,03:25.9,41st,+0:20.69,03:29.6,48th,+0:21.93,02:17.6,29th,+0:12.54,03:18.8,46th,+0:19.36,02:15.6,71st=,+0:12.35,02:14.2,24th,+0:07.80,03:24.2,47th,+0:15.21,,
41st,1125,Joshua Mieszczak,Valley MTB/Hueys Cycleworks,M,Enduro | Master Male (30-39),20:26.4,+1:45.86,,,03:21.1,32nd,+0:15.84,03:37.3,68th,+0:29.69,02:18.3,31st,+0:13.15,03:21.8,61st,+0:22.40,02:11.5,30th,+0:08.21,02:17.8,54th,+0:11.44,03:18.7,20th,+0:09.66,,
42nd,2567,Jasper Johnson,Silverfish UK,M,Enduro | Senior Male (18-29),20:31.3,+1:50.68,,,03:33.1,64th,+0:27.86,03:28.8,42nd,+0:21.19,02:18.6,34th,+0:13.45,03:18.2,41st,+0:18.80,02:10.8,23rd,+0:07.56,02:16.1,36th,+0:09.71,03:25.6,52nd,+0:16.64,,
43rd,23,Thomas Milner,Marin UK,M,Enduro | Master Male (30-39),20:33.6,+1:52.97,,,03:25.4,40th,+0:20.19,03:26.2,35th,+0:18.55,02:22.0,52nd,+0:16.85,03:25.4,82nd,+0:25.99,02:13.8,57th,+0:10.55,02:16.4,40th,+0:10.01,03:24.4,48th,+0:15.36,,
44th,79,Ben Jackson,TrailTec Coaching,M,Enduro | Senior Male (18-29),20:35.0,+1:54.38,,,03:29.2,49th,+0:23.95,03:33.5,55th,+0:25.79,02:20.1,47th,+0:14.96,03:16.0,34th,+0:16.60,02:10.7,22nd,+0:07.40,02:14.7,29th,+0:08.31,03:30.9,89th,+0:21.90,,
45th,28,Jayden Randell,T-Mo Racing,M,Enduro | Senior Male (18-29),20:36.0,+1:55.43,,,03:44.9,115th,+0:39.64,03:35.2,61st,+0:27.50,02:17.0,23rd,+0:11.90,03:13.7,27th,+0:14.24,02:08.8,13th,+0:05.54,02:10.9,10th,+0:04.55,03:25.6,51st,+0:16.59,,
46th,29,Scott Woolley,Stif Mountain Bikes,M,Enduro | Senior Male (18-29),20:36.3,+1:55.74,,,03:19.7,27th,+0:14.45,03:24.8,29th,+0:17.19,02:18.5,33rd,+0:13.36,03:19.8,50th,+0:20.35,02:17.8,104th,+0:14.56,02:18.1,57th,+0:11.71,03:37.6,150th,+0:28.65,,
47th,2558,Sam Robson,Geoometron Bikes,M,Enduro | Senior Male (18-29),20:38.0,+1:57.40,,,03:52.7,170th,+0:47.41,03:27.5,36th,+0:19.80,02:19.7,43rd,+0:14.61,03:14.2,28th=,+0:14.76,02:09.1,14th=,+0:05.85,02:15.8,33rd,+0:09.46,03:19.0,24th,+0:10.04,,
48th,74,Jordan Wright,Army Enduro MTB Team,M,Enduro | Master Male (30-39),20:39.9,+1:59.30,,,03:27.7,44th,+0:22.46,03:34.1,56th,+0:26.44,02:17.8,30th,+0:12.69,03:18.5,42nd,+0:19.05,02:17.3,99th,+0:14.09,02:18.7,60th,+0:12.35,03:25.7,53rd,+0:16.75,,
49th,992,Ally Evans,"All Smoke, No Poke",M,Enduro | Senior Male (18-29),20:41.4,+2:00.80,,,03:31.4,55th,+0:26.15,03:25.4,32nd,+0:17.78,02:25.4,73rd,+0:20.31,03:19.3,48th,+0:19.84,02:13.3,46th=,+0:10.05,02:19.2,69th=,+0:12.80,03:27.4,64th,+0:18.40,,
50th,150,Aidan Coulthard,Bikepark Dent,M,Enduro | Senior Male (18-29),20:41.8,+2:01.16,,,03:31.0,52nd,+0:25.71,03:41.2,81st,+0:33.55,02:19.3,40th,+0:14.21,03:20.6,53rd,+0:21.10,02:08.1,10th,+0:04.85,02:13.5,21st,+0:07.16,03:28.1,68th,+0:19.11,,
51st,639,Harvey Dave Game,Fisher Tours,M,Enduro | Senior Male (18-29),20:46.1,+2:05.49,,,03:32.1,58th,+0:26.90,03:37.9,71st,+0:30.28,02:23.9,60th,+0:18.80,03:22.2,64th,+0:22.80,02:13.6,53rd,+0:10.30,02:15.4,32nd,+0:09.09,03:20.8,32nd,+0:11.85,,
52nd,54,Ronan White,Ride Innerliethen / Vittoria / Dharco / Monkstadt,M,Enduro | Senior Male (18-29),20:47.1,+2:06.50,,,03:33.6,65th,+0:28.31,03:42.5,88th,+0:34.84,02:20.5,49th,+0:15.36,03:20.0,51st,+0:20.51,02:10.5,21st,+0:07.25,02:12.9,17th,+0:06.55,03:27.2,61st,+0:18.21,,
53rd,326,Joseph Varndell,Starling Cycles,M,Enduro | Senior Male (18-29),20:48.1,+2:07.51,,,03:42.8,106th,+0:37.50,03:29.7,49th,+0:22.09,02:20.3,48th,+0:15.19,03:18.2,40th,+0:18.76,02:13.5,51st,+0:10.25,02:17.1,49th=,+0:10.80,03:26.5,56th,+0:17.45,,
54th,97,Henry Stephenson,Orange Bikes,M,Enduro | Senior Male (18-29),20:53.1,+2:12.49,,,03:29.1,48th,+0:23.89,03:30.5,50th,+0:22.88,02:19.9,45th,+0:14.76,03:24.0,76th,+0:24.55,02:17.6,101st,+0:14.35,02:21.8,99th,+0:15.44,03:30.1,81st,+0:21.15,,
55th,30,Cai Grocott,Nukeproof Hotlines Vittoria,M,Enduro | Senior Male (18-29),20:54.6,+2:13.97,,,03:36.7,80th,+0:31.46,03:29.2,44th=,+0:21.59,02:23.1,54th,+0:17.96,03:28.5,106th,+0:29.10,02:14.6,67th,+0:11.39,02:18.0,56th,+0:11.60,03:24.4,49th,+0:15.40,,
56th,1173,Nigel Page,Nukeproof Sram Factory Racing,M,Enduro | Grand Vet Male (50+),20:55.1,+2:14.48,,,03:25.1,39th,+0:19.90,03:23.9,25th,+0:16.23,02:24.7,68th,+0:19.56,03:17.4,39th,+0:17.96,02:18.8,117th,+0:15.50,02:26.1,167th,+0:19.71,03:39.1,159th,+0:30.15,,
57th,244,Daryl Biles,,M,Enduro | Senior Male (18-29),20:56.2,+2:15.58,,,03:34.1,68th,+0:28.85,03:40.7,80th,+0:33.03,02:26.9,81st,+0:21.76,03:20.1,52nd,+0:20.66,02:11.3,28th,+0:08.04,02:16.6,42nd,+0:10.21,03:26.6,57th,+0:17.56,,
58th,35,Jamie Rose,Rose Racing,M,Enduro | Veteran Male (40-49),20:56.5,+2:15.87,,,03:31.6,56th,+0:26.35,03:33.2,54th,+0:25.50,02:27.1,84th=,+0:22.00,03:22.9,70th,+0:23.45,02:15.6,71st=,+0:12.35,02:19.0,66th,+0:12.65,03:27.1,60th,+0:18.10,,
n/c,514,Lee Harrison,Buxton MTB,M,Enduro | Master Male (30-39),20:56.6,,,E,03:32.0,n/c,,03:31.3,n/c,,02:25.8,n/c,,03:25.1,n/c,,02:17.6,n/c,,02:18.0,n/c,,03:26.8,n/c,,,
59th,855,Richard Goddard,MTB Support Bubble,M,Enduro | Veteran Male (40-49),20:58.2,+2:17.56,,,03:40.2,94th,+0:34.94,03:27.9,39th,+0:20.20,02:25.8,74th,+0:20.70,03:22.3,65th,+0:22.90,02:17.8,103rd,+0:14.54,02:21.6,96th,+0:15.25,03:22.6,38th,+0:13.56,,
60th,648,Warren Field,"2:1Racing, SpecializedUK",M,Enduro | Master Male (30-39),21:01.7,+2:21.16,,,03:36.2,76th,+0:30.95,03:43.9,96th,+0:36.24,02:27.0,83rd,+0:21.85,03:22.9,69th,+0:23.40,02:13.5,49th,+0:10.20,02:20.1,82nd,+0:13.75,03:18.3,19th,+0:09.30,,
61st,1189,Andrew Lawton,Burgtec,M,Enduro | Veteran Male (40-49),21:04.1,+2:23.49,,,03:43.6,107th=,+0:38.35,03:37.6,69th,+0:29.94,02:24.3,62nd,+0:19.15,03:20.6,54th,+0:21.15,02:14.4,62nd=,+0:11.19,02:21.4,94th=,+0:15.09,03:22.2,35th,+0:13.15,,
62nd,990,Damian Groves,Niner Bikes,M,Enduro | Master Male (30-39),21:04.2,+2:23.61,,,03:32.9,63rd,+0:27.69,03:49.4,136th,+0:41.74,02:24.3,63rd,+0:19.20,03:18.6,43rd,+0:19.15,02:11.6,33rd,+0:08.30,02:16.9,47th,+0:10.60,03:30.5,82nd,+0:21.46,,
63rd,44,Jordan Lunn,Salsa Cycles / Industry Nine / Teravail / Etnies,M,Enduro | Senior Male (18-29),21:04.4,+2:23.80,,,03:34.3,69th,+0:29.00,03:44.7,101st,+0:37.05,02:26.1,76th,+0:21.01,03:22.4,66th,+0:22.99,02:12.7,41st,+0:09.40,02:16.1,37th,+0:09.74,03:28.1,69th,+0:19.14,,
64th,989,Sam Cofano,Cannondale/50-01,M,Enduro | Senior Male (18-29),21:04.6,+2:24.01,,,03:36.7,79th,+0:31.44,03:30.7,51st,+0:23.09,02:24.5,66th=,+0:19.44,03:33.0,148th,+0:33.51,02:15.8,75th=,+0:12.50,02:21.2,91st,+0:14.85,03:22.7,39th,+0:13.71,,
65th,1170,Daniel Bateson,Intense Cycles,M,Enduro | Master Male (30-39),21:05.1,+2:24.53,,,03:51.2,155th,+0:45.90,03:27.8,38th,+0:20.15,02:28.3,99th,+0:23.15,03:25.5,83rd,+0:26.05,02:11.6,34th=,+0:08.31,02:19.1,68th,+0:12.75,03:21.7,33rd,+0:12.75,,
66th,998,Ben Wootton,"All Smoke, No Poke",M,Enduro | Master Male (30-39),21:07.8,+2:27.20,,,03:32.9,62nd,+0:27.64,03:34.3,57th,+0:26.69,02:30.0,116th,+0:24.90,03:21.2,57th,+0:21.75,02:25.0,249th,+0:21.75,02:24.3,132nd,+0:17.90,03:20.1,30th,+0:11.10,,
67th,190,Tom Walker,,M,Enduro | Master Male (30-39),21:08.2,+2:27.63,,,03:34.1,67th,+0:28.81,03:36.2,62nd,+0:28.49,02:24.4,64th,+0:19.25,03:21.2,58th,+0:21.80,02:14.1,59th,+0:10.80,02:16.4,41st,+0:10.06,03:42.0,184th,+0:32.95,,
68th,768,Ben Mannering,Bluebell Hillers,M,Enduro | Master Male (30-39),21:12.6,+2:32.00,,,03:40.4,97th,+0:35.20,03:43.4,93rd,+0:35.69,02:27.9,96th,+0:22.75,03:22.2,63rd,+0:22.74,02:13.5,52nd,+0:10.29,02:19.5,72nd=,+0:13.10,03:25.8,54th,+0:16.76,,
69th,64,Tomas Kupstys,Bird Cycleworks Factory Racing,M,Enduro | Veteran Male (40-49),21:13.5,+2:32.90,,,03:34.7,70th,+0:29.46,03:48.0,119th,+0:40.38,02:25.9,75th,+0:20.84,03:23.9,74th=,+0:24.49,02:11.6,34th=,+0:08.31,02:16.7,44th,+0:10.35,03:32.6,107th,+0:23.60,,
70th,100,Rhys Wainwright,Singletrack World,M,Enduro | Master Male (30-39),21:15.4,+2:34.81,,,03:32.3,60th,+0:27.06,03:47.9,118th,+0:40.20,02:26.5,79th,+0:21.44,03:23.9,74th=,+0:24.49,02:14.1,60th,+0:10.84,02:18.9,63rd,+0:12.56,03:31.8,98th,+0:22.75,,
71st,51,Ben Brookes,Recoil Suspension,M,Enduro | Senior Male (18-29),21:17.9,+2:37.35,,,03:40.3,96th,+0:35.10,03:54.4,176th,+0:46.75,02:23.8,58th,+0:18.71,03:25.5,84th,+0:26.06,02:10.1,19th,+0:06.85,02:15.0,30th,+0:08.60,03:28.8,74th,+0:19.81,,
72nd,199,Sam Yeadon,Fast Pies,M,Enduro | Senior Male (18-29),21:18.2,+2:37.58,,,03:35.0,71st,+0:29.71,03:42.6,89th,+0:34.94,02:27.2,86th,+0:22.05,03:21.9,62nd,+0:22.49,02:17.2,94th,+0:13.91,02:22.3,103rd,+0:15.95,03:32.1,99th,+0:23.06,,
73rd,714,Tom Affleck,GNFR,M,Enduro | Master Male (30-39),21:19.3,+2:38.73,,,03:30.7,51st,+0:25.40,03:29.2,44th=,+0:21.59,02:26.5,78th,+0:21.36,03:25.7,86th=,+0:26.30,02:25.1,251st,+0:21.86,02:25.3,152nd,+0:18.90,03:36.9,141st,+0:27.85,,
74th,109,Robert Stead,NLC,M,Enduro | Master Male (30-39),21:19.4,+2:38.76,,,03:31.3,54th,+0:26.09,03:48.7,127th=,+0:41.09,02:28.4,103rd,+0:23.31,03:23.4,73rd,+0:23.99,02:15.8,75th=,+0:12.50,02:20.1,81st,+0:13.71,03:31.6,97th,+0:22.60,,
75th,319,Abe Watkinson,Slobs,M,Enduro | Master Male (30-39),21:24.1,+2:43.53,,,03:47.1,128th,+0:41.85,03:36.5,66th,+0:28.80,02:27.2,87th,+0:22.09,03:23.2,71st,+0:23.76,02:17.1,91st,+0:13.85,02:23.1,114th,+0:16.71,03:30.0,80th,+0:21.00,,
76th,33,Martyn Alderson,Stif Mountain Bikes,M,Enduro | Veteran Male (40-49),21:25.1,+2:44.50,,,03:31.3,53rd,+0:26.05,03:36.4,65th,+0:28.78,02:23.1,55th,+0:18.04,03:27.2,98th,+0:27.71,02:24.1,218th=,+0:20.85,02:26.9,181st,+0:20.56,03:36.0,133rd,+0:27.04,,
77th,320,Rob Pickard,Slobs,M,Enduro | Senior Male (18-29),21:26.0,+2:45.44,,,03:47.9,133rd,+0:42.70,03:34.8,60th,+0:27.15,02:27.6,93rd,+0:22.50,03:26.0,89th,+0:26.55,02:17.1,90th,+0:13.81,02:22.9,111th=,+0:16.56,03:29.7,79th,+0:20.70,,
78th,183,Ant Sugden,50-01,M,Enduro | Senior Male (18-29),21:26.3,+2:45.71,,,03:47.0,126th,+0:41.70,03:32.8,53rd,+0:25.13,02:35.1,171st=,+0:30.00,03:27.0,97th,+0:27.55,02:14.5,64th=,+0:11.25,02:21.2,92nd,+0:14.90,03:28.7,73rd,+0:19.71,,
