Pos,No.,Name,Team,Class,Time,Behind,Hardtail,S1: Fox Racing,S1: Fox Racing Position,S2: Camelbak,S2: Camelbak Position,S3: Maxxis,S3: Maxxis Position,S4: Hope,S4: Hope Position,S5: Peatys,S5: Peatys Position,S6: Exposure,S6: Exposure Position,S7: Julbo,S7: Julbo Position
251st,401,James Carn,ardly able,Enduro | Master Male,00:23:41.7,+4:15.97, ,00:05:10.1,457th,00:03:39.9,269th=,00:03:29.4,305th,00:03:33.8,284th,00:02:32.5,240th=,00:02:42.5,164th,00:02:33.5,224th
252nd,249,Chris Atkin,Atkin,Enduro | Master Male,00:23:41.8,+4:16.04, ,00:04:42.1,138th,00:03:55.8,478th,00:03:24.8,219th,00:03:33.0,273rd=,00:02:39.3,448th,00:02:57.2,578th=,00:02:29.6,162nd=
253rd,906,Daniel Selas,SWS WE RIDE,Enduro | Master Male,00:23:42.0,+4:16.27, ,00:05:08.2,422nd,00:03:41.1,286th,00:03:28.1,272nd=,00:03:36.0,313th,00:02:30.8,194th,00:02:43.9,191st,00:02:33.9,229th
254th,262,David Brown,B&DCC,Enduro | Grand Vet Male,00:23:43.0,+4:17.21, ,00:05:02.5,338th,00:03:42.4,309th,00:03:33.0,369th,00:03:31.0,248th=,00:02:34.2,284th=,00:02:44.8,219th,00:02:35.0,254th
255th,567,Matt Robinson, ,Enduro | Veteran Male,00:23:43.2,+4:17.41, ,00:05:06.8,396th,00:03:46.8,369th,00:03:25.7,233rd,00:03:28.3,213th,00:02:31.5,209th,00:02:48.8,326th,00:02:35.3,256th
256th,297,Craig Williams,BIG RIG RACING,Enduro | Master Male,00:23:43.7,+4:17.93, ,00:05:00.2,317th,00:03:37.2,239th,00:03:29.3,301st=,00:03:37.6,340th=,00:02:37.0,381st,00:02:48.4,315th,00:02:34.0,232nd
257th,526,Richard Stott,Racoon Patrol,Enduro | Master Male,00:23:44.2,+4:18.45, ,00:04:56.1,266th,00:03:42.2,303rd,00:03:27.5,261st=,00:03:35.8,307th,00:02:34.5,295th,00:02:46.7,267th,00:02:41.4,369th
258th,921,Nathan Jones,Team ABR,Enduro | Master Male,00:23:44.4,+4:18.60, ,00:04:54.8,248th,00:03:44.9,341st,00:03:40.1,498th,00:03:30.8,246th,00:02:29.6,169th,00:02:47.0,277th,00:02:37.1,281st
259th,1095,Darren Hulme, ,Enduro | Master Male,00:23:44.4,+4:18.60, ,00:05:08.8,433rd=,00:03:38.0,249th,00:03:21.4,184th,00:03:34.7,293rd,00:02:32.5,240th=,00:02:46.7,268th=,00:02:42.3,390th
260th,747,Philip Jackson,Northern Metal,Enduro | Master Male,00:23:45.4,+4:19.65, ,00:04:49.0,194th,00:03:47.4,378th,00:03:30.7,327th=,00:03:37.2,331st,00:02:31.8,219th,00:02:48.2,304th,00:02:41.0,360th
261st,711,Rhys Williams,Mr T Racing,Enduro | Veteran Male,00:23:45.6,+4:19.80, ,00:05:02.3,334th,00:03:42.3,308th,00:03:30.9,330th,00:03:39.2,372nd,00:02:35.5,321st=,00:02:44.5,208th=,00:02:31.0,179th
262nd,234,Mike Mclaughlin,Army Enduro MTB Team,Enduro | Veteran Male,00:23:45.7,+4:19.88, ,00:04:50.8,212th,00:03:33.8,206th,00:03:22.7,197th,00:03:40.8,401st,00:02:42.0,522nd=,00:03:03.0,688th,00:02:32.6,203rd
263rd,196,Liam Crook, ,Enduro | Master Male,00:23:46.1,+4:20.33, ,00:05:08.3,426th,00:03:42.1,302nd,00:03:24.8,221st=,00:03:27.9,206th,00:02:38.5,425th,00:02:48.8,325th,00:02:35.6,260th
264th,981,Robert Young,the pork pie syndicate,Enduro | Veteran Male,00:23:47.2,+4:21.39, ,00:05:04.3,356th,00:03:40.8,276th,00:03:27.9,271st,00:03:32.4,265th,00:02:33.8,273rd,00:02:52.4,437th=,00:02:35.7,262nd
265th,277,Morgan Jones,Banjo Cycles / Racewear / Specialized,Enduro | Senior Male,00:23:47.5,+4:21.75, ,00:04:53.6,238th,00:03:41.3,290th,00:03:27.6,263rd,00:03:38.6,364th,00:02:38.1,414th,00:02:47.8,294th,00:02:40.5,352nd
266th,360,Matt Smith, ,Enduro | Senior Male,00:23:48.5,+4:22.72, ,00:04:50.7,210th,00:03:31.1,180th=,00:03:28.2,276th=,00:03:51.4,579th,00:02:38.3,421st,00:02:47.4,285th=,00:02:41.4,367th
267th,9,James Turner,Ivy Woods,Enduro | Master Male,00:23:48.6,+4:22.80, ,00:05:03.2,346th,00:03:49.1,395th,00:03:32.5,357th,00:03:42.4,432nd,00:02:26.6,102nd,00:02:40.3,124th,00:02:34.5,245th
268th,563,William Weightman,Norfolk n chance,Enduro | Veteran Male,00:23:48.7,+4:22.95, ,00:04:58.5,296th,00:03:36.0,230th,00:03:29.1,295th,00:03:37.6,338th,00:02:34.3,287th,00:02:50.5,376th=,00:02:42.7,401st
269th,266,Glen Saxton,Bad Brains MBC,Enduro | Veteran Male,00:23:49.2,+4:23.42, ,00:04:57.2,278th,00:03:41.5,292nd,00:03:28.8,289th=,00:03:33.3,279th,00:02:36.2,353rd=,00:02:48.4,314th,00:02:43.8,420th
270th,1178,Chloe Taylor,Cotic,Enduro | Senior Female,00:23:49.9,+4:24.12, ,00:04:58.9,301st,00:03:30.3,173rd,00:03:37.2,443rd,00:03:38.3,359th,00:02:37.3,390th,00:02:50.9,386th=,00:02:36.9,278th
271st,554,Matt Goodwin,knee,Enduro | Master Male,00:23:50.2,+4:24.38, ,00:05:35.5,699th,00:03:35.6,223rd,00:03:29.2,300th,00:03:23.9,148th,00:02:30.4,185th=,00:02:43.6,181st,00:02:31.9,191st
272nd,615,Thomas Hannibal,Team Peril Pie,Enduro | Senior Male,00:23:50.4,+4:24.63, ,00:04:58.6,297th,00:03:41.6,294th,00:03:42.6,530th,00:03:28.0,210th,00:02:31.6,213th,00:02:48.0,298th,00:02:39.9,336th
273rd,446,Martin Rough, ,Enduro | Master Male,00:23:51.0,+4:25.24, ,00:05:06.9,399th=,00:03:36.0,229th,00:03:31.3,337th,00:03:36.1,315th,00:02:34.0,276th,00:02:45.6,237th,00:02:41.2,363rd
274th,358,Jordan Clare,Cliffe mtb,Enduro | Senior Male,00:23:51.1,+4:25.28, ,00:05:04.0,353rd,00:03:37.3,243rd=,00:03:31.9,347th,00:03:33.1,275th,00:02:32.8,250th,00:02:45.8,240th,00:02:45.9,463rd=
275th,174,Karl Chapman,WORMY MTB,Enduro | Senior Male,00:23:51.3,+4:25.48, ,00:05:05.1,364th,00:03:43.6,325th,00:03:31.1,332nd,00:03:37.9,346th,00:02:32.6,244th,00:02:46.7,268th=,00:02:34.4,241st
276th,525,Richard Woodward,Racoon Patrol,Enduro | Master Male,00:23:51.6,+4:25.79, ,00:05:20.5,569th,00:03:35.7,225th,00:03:26.6,247th,00:03:32.3,263rd,00:02:35.2,314th,00:02:44.2,197th,00:02:37.0,279th
277th,568,James Taylor, ,Enduro | Veteran Male,00:23:51.7,+4:25.93, ,00:04:37.1,99th,00:03:39.3,265th,00:04:18.4,828th,00:03:26.1,173rd=,00:02:33.6,266th=,00:02:44.6,210th=,00:02:32.8,205th
278th,1063,Aaron Worwood,Sherwood Old Boys,Enduro | Senior Male,00:23:51.8,+4:26.04, ,00:04:55.0,253rd,00:03:51.0,422nd,00:03:35.6,413th,00:03:45.3,479th,00:02:26.7,106th,00:02:39.4,107th,00:02:38.8,309th
279th,590,Neil Tyler,Let's go ride bikes,Enduro | Master Male,00:23:51.9,+4:26.09, ,00:04:54.2,242nd,00:03:42.7,314th,00:03:29.6,309th,00:03:33.0,273rd=,00:02:38.3,422nd,00:02:55.0,510th,00:02:39.1,312th
280th,132,Ross Grimmett,FAF,Enduro | Master Male,00:23:51.9,+4:26.13, ,00:05:05.3,369th=,00:03:46.0,359th,00:03:28.1,272nd=,00:03:32.7,268th,00:02:35.0,308th=,00:02:47.3,283rd,00:02:37.5,289th
281st,602,Matthew Atack, ,Enduro | Master Male,00:23:52.0,+4:26.18, ,00:05:21.6,581st,00:03:34.3,210th,00:03:23.1,201st,00:03:36.2,316th,00:02:31.0,201st=,00:02:44.9,223rd,00:02:40.8,357th
282nd,629,Nick Thornton,Malvern Mincers,Enduro | Master Male,00:23:52.2,+4:26.47, ,00:04:55.9,263rd,00:03:42.5,311th,00:03:27.3,258th,00:03:35.0,295th,00:02:39.1,440th,00:02:54.3,497th,00:02:38.2,297th
283rd,405,Thomas Willcocks,Weekend Warriors,Enduro | Master Male,00:23:53.7,+4:27.95, ,00:05:05.3,366th=,00:03:46.4,362nd,00:03:27.4,259th,00:03:35.2,300th,00:02:34.2,283rd,00:02:49.9,359th,00:02:35.4,257th
284th,506,Ross Adams,Twelve50 Bikes,Enduro | Veteran Male,00:23:54.1,+4:28.34, ,00:04:56.0,264th=,00:03:50.2,410th=,00:03:23.5,205th,00:03:33.5,280th,00:02:43.1,562nd,00:02:48.1,301st=,00:02:39.7,333rd
285th,1087,Jody Gale,FodMTB,Enduro | Veteran Male,00:23:54.8,+4:29.02, ,00:04:58.2,290th,00:03:44.6,338th,00:03:34.9,402nd=,00:03:37.3,334th=,00:02:37.9,408th,00:02:45.3,230th,00:02:36.5,274th
286th,897,Steve Walker,Stamford Squealers,Enduro | Master Male,00:23:55.4,+4:29.66, ,00:05:02.3,335th,00:03:46.5,364th,00:03:28.5,285th,00:03:32.2,261st,00:02:32.4,238th,00:02:53.9,487th,00:02:39.5,326th
287th,1020,Alex Griffiths,Wizards Council,Enduro | Senior Male,00:23:55.5,+4:29.74, ,00:04:45.6,171st=,00:04:02.5,561st,00:03:30.2,318th,00:03:33.3,277th,00:02:29.3,163rd,00:02:52.1,431st,00:02:42.4,393rd
288th,931,Oliver Dann,Team Colin,Enduro | Master Male,00:23:55.8,+4:30.04, ,00:05:24.4,606th,00:03:41.1,285th,00:03:23.6,206th,00:03:35.0,296th=,00:02:32.2,232nd,00:02:45.9,241st,00:02:33.6,228th
289th,831,Thomas Gascoyne,Beauty & The Beasts,Enduro | Master Male,00:23:56.2,+4:30.41, ,00:05:05.3,366th=,00:03:38.8,259th,00:03:33.0,368th,00:03:38.0,348th,00:02:33.2,259th,00:02:48.5,316th=,00:02:39.4,323rd
290th,1080,Josh Brown,Privateer,Enduro | Senior Male,00:23:56.5,+4:30.75, ,00:04:44.2,158th=,00:03:46.9,373rd,00:03:12.8,98th,00:03:15.1,77th,00:02:28.2,133rd,00:02:39.4,108th,00:03:49.9,907th
291st,258,Michael Leaney,B&DCC,Enduro | Grand Vet Male,00:23:56.9,+4:31.09, ,00:05:04.6,361st,00:03:45.6,353rd,00:03:26.2,238th,00:03:37.7,343rd,00:02:32.1,227th,00:02:48.1,299th,00:02:42.6,399th
292nd,701,Mark Wilkinson,Munkai Racing,Enduro | Master Male,00:23:57.2,+4:31.39, ,00:04:58.3,293rd,00:03:49.8,405th,00:03:32.2,353rd,00:03:35.8,309th=,00:02:35.7,335th=,00:02:52.3,436th,00:02:33.0,213th=
293rd,343,Howard Williams,WWW,Enduro | Master Male,00:23:57.7,+4:31.90, ,00:04:58.8,300th,00:03:38.5,255th,00:03:26.8,251st,00:03:28.0,207th=,00:03:03.7,887th,00:02:44.5,208th=,00:02:37.5,287th=
294th,569,Stuart Hines,Velo Ulverston,Enduro | Master Male,00:23:57.9,+4:32.13, ,00:04:56.7,271st,00:03:52.4,436th,00:03:29.1,296th,00:03:38.7,366th,00:02:34.5,294th,00:02:47.9,295th,00:02:38.7,305th
295th,16,Mat Wright,Mat Wright peddlers,Enduro | Master Male,00:23:58.9,+4:33.08, ,00:06:39.6,950th,00:03:09.7,40th,00:02:58.3,17th,00:03:29.0,221st=,00:02:23.2,55th,00:02:59.3,629th=,00:02:19.8,56th
296th,608,Thomas Hastie,Vyking Energy,Enduro | Senior Male,00:23:59.5,+4:33.69, ,00:04:56.0,264th=,00:03:47.3,376th,00:03:30.8,329th,00:03:35.3,302nd,00:02:34.6,297th,00:02:49.6,351st,00:02:45.9,463rd=
297th,1127,Tony Sands, ,Enduro | Veteran Male,00:23:59.8,+4:34.03, ,00:04:53.0,231st,00:03:45.4,348th,00:03:28.3,278th,00:03:38.0,347th,00:02:36.9,373rd,00:02:56.6,554th,00:02:41.6,371st
298th,84,Mike Scrimgour,TCH Factory Racing,Enduro | Master Male,00:24:00.0,+4:34.19, ,00:05:33.0,685th,00:03:32.0,189th,00:03:18.7,156th=,00:03:32.1,259th,00:02:38.4,423rd,00:02:50.9,386th=,00:02:34.8,250th
299th,655,Michael Hannan,Marton Masive,Enduro | Master Male,00:24:00.1,+4:34.33, ,00:04:50.1,205th,00:03:41.2,289th,00:03:29.5,308th,00:03:50.5,565th,00:02:36.5,363rd,00:02:49.1,327th=,00:02:43.2,412th=
300th,901,William Sutcliffe, ,Enduro | Senior Male,00:24:00.6,+4:34.78, ,00:05:01.1,324th,00:03:47.9,385th,00:03:36.2,421st,00:03:40.1,391st,00:02:29.2,162nd,00:02:46.5,259th=,00:02:39.6,329th=
301st,425,Ian Ghiloni,DATCC,Enduro | Veteran Male,00:24:00.6,+4:34.84, ,00:05:01.3,325th,00:03:53.5,451st,00:03:34.0,383rd,00:03:36.0,314th,00:02:29.2,160th=,00:02:46.5,257th,00:02:40.2,341st=
302nd,295,Pascal Lally, ,Enduro | Senior Male,00:24:01.3,+4:35.57, ,00:05:03.1,344th,00:03:42.2,305th,00:03:27.1,256th,00:03:35.1,298th,00:02:38.0,411th,00:02:49.5,346th=,00:02:46.3,470th
303rd,341,Brendon Bailey,WWW,Enduro | Veteran Male,00:24:01.4,+4:35.58, ,00:05:06.7,395th,00:03:36.2,231st,00:03:28.2,274th=,00:03:42.4,433rd,00:02:39.2,443rd,00:02:48.4,313th,00:02:40.2,344th
304th,281,Darren Flavell,Bad brains mbc,Enduro | Master Male,00:24:01.8,+4:36.00, ,00:04:59.0,303rd,00:03:52.3,435th,00:03:33.1,370th,00:03:41.3,407th,00:02:34.2,280th,00:02:45.2,225th,00:02:36.7,276th
305th,165,Karen Van Meerbeeck,Giant,Enduro | Veteran Female,00:24:02.4,+4:36.65, ,00:04:56.5,268th,00:03:34.9,217th,00:03:26.5,243rd,00:03:48.2,534th,00:02:44.5,601st=,00:02:57.6,587th,00:02:34.2,237th
306th,216,Calum Dickinson, ,Enduro | Senior Male,00:24:02.7,+4:36.95, ,00:04:57.6,284th,00:03:40.3,272nd,00:03:45.2,563rd,00:03:38.3,360th,00:02:36.8,372nd,00:02:45.8,239th,00:02:38.7,307th
307th,991,Gareth Gear, ,Enduro | Master Male,00:24:03.5,+4:37.71, ,00:04:53.0,230th,00:03:52.9,445th,00:03:30.0,315th,00:03:39.2,373rd,00:02:32.4,235th=,00:02:49.1,331st,00:02:46.9,484th
308th,827,David Sidley,Trumpton,Enduro | Master Male,00:24:03.9,+4:38.08, ,00:05:08.3,425th,00:03:38.6,257th,00:03:31.2,333rd,00:03:37.3,333rd,00:02:33.2,260th,00:02:51.0,392nd=,00:02:44.3,431st
309th,620,Dave Hewitson,Team Peril Pie,Enduro | Master Male,00:24:04.8,+4:39.02, ,00:04:55.4,259th,00:03:47.0,375th,00:03:40.5,502nd=,00:03:37.6,339th,00:02:32.6,247th,00:02:49.2,333rd=,00:02:42.5,395th=
310th,757,David Peel,oi oi,Enduro | Master Male,00:24:05.0,+4:39.22, ,00:04:59.3,307th,00:03:46.1,361st,00:03:29.5,307th,00:03:41.7,412th=,00:02:34.7,300th,00:02:51.5,411th=,00:02:42.2,386th
311th,384,Phil Elbourne, ,Enduro | Veteran Male,00:24:05.2,+4:39.41, ,00:05:03.5,350th,00:03:47.5,380th,00:03:34.3,391st,00:03:39.3,380th,00:02:36.3,357th,00:02:46.8,270th,00:02:37.4,286th
312th,1023,Steven Slack,Wrecking Ball,Enduro | Veteran Male,00:24:05.6,+4:39.80, ,00:04:56.7,272nd,00:03:45.2,345th,00:03:33.2,371st,00:03:38.1,355th,00:02:38.2,419th,00:02:52.1,427th,00:02:42.1,382nd
313th,417,Alistair Trippett,Spokes MTB Club,Enduro | Senior Male,00:24:05.6,+4:39.84, ,00:05:08.2,423rd,00:03:38.1,251st,00:03:29.7,312th,00:03:36.7,323rd,00:02:38.9,437th,00:02:50.7,381st,00:02:43.5,414th
314th,868,Christopher Gibbons,I Feel Sick Racing,Enduro | Master Male,00:24:05.7,+4:39.93, ,00:05:18.8,545th,00:03:46.0,360th,00:03:25.6,230th,00:03:32.4,266th,00:02:32.4,239th,00:02:46.5,259th=,00:02:44.0,423rd
315th,1056,Michael Braybrook,Bramblescratch,Enduro | Master Male,00:24:06.0,+4:40.22, ,00:04:55.2,258th,00:03:53.3,448th,00:03:34.5,395th,00:03:38.0,349th,00:02:31.4,204th,00:02:50.6,380th,00:02:43.0,408th
316th,1070,Karl Fearn,Hillbilly racing,Enduro | Master Male,00:24:06.1,+4:40.31, ,00:05:04.5,359th,00:03:46.8,372nd,00:03:29.3,304th,00:03:38.1,356th=,00:02:35.0,307th,00:02:55.3,522nd,00:02:37.1,280th
317th,855,Paul Whitelegge,RAFCA,Enduro | Master Male,00:24:07.0,+4:41.24, ,00:05:06.3,387th,00:03:45.6,351st,00:03:28.3,280th,00:03:39.7,386th,00:02:37.8,404th,00:02:49.1,330th,00:02:40.2,341st=
318th,175,Dan Trent,MBR,Enduro | Veteran Male,00:24:07.3,+4:41.52, ,00:05:11.5,471st,00:03:44.1,332nd,00:03:31.0,331st,00:03:37.1,329th,00:02:40.0,472nd,00:02:50.4,375th,00:02:33.3,223rd
319th,797,Matt Shelton,PRH racing,Enduro | Master Male,00:24:07.6,+4:41.81, ,00:05:06.8,397th=,00:03:51.0,421st,00:03:24.8,217th=,00:03:41.8,416th,00:02:30.7,193rd,00:02:49.7,353rd,00:02:42.8,404th
320th,584,Samuel Mitchell,RAF,Enduro | Master Male,00:24:08.4,+4:42.60, ,00:05:05.3,369th=,00:03:49.0,394th,00:03:30.3,319th,00:03:42.0,424th,00:02:33.6,266th=,00:02:50.8,384th=,00:02:37.4,285th
321st,76,Ryan Stockton,TNFC,Enduro | Veteran Male,00:24:08.7,+4:42.95, ,00:04:55.1,256th,00:03:56.0,480th=,00:03:34.9,402nd=,00:03:34.1,288th,00:02:37.3,388th,00:02:56.7,558th,00:02:34.6,246th
322nd,1164,James Griffiths,6Seven,Enduro | Veteran Male,00:24:09.3,+4:43.48, ,00:04:54.0,241st,00:03:37.1,237th,00:03:31.5,339th,00:03:42.9,441st,00:02:42.6,547th,00:02:52.2,433rd,00:02:48.8,505th=
323rd,307,Paul Taylor,Bikes N Beer,Enduro | Master Male,00:24:09.7,+4:43.95, ,00:05:04.4,358th,00:03:29.1,165th,00:03:32.2,352nd,00:03:35.4,304th=,00:02:43.9,579th=,00:02:57.1,572nd,00:02:47.8,493rd
324th,209,Alistair Leggett,ADRENALINE CYCLES,Enduro | Master Male,00:24:09.9,+4:44.11, ,00:05:09.7,450th,00:03:45.7,355th=,00:03:33.3,374th,00:03:35.2,301st,00:02:37.8,402nd,00:02:54.0,489th,00:02:34.1,235th
325th,194,Nigel Todd,Thirsk Massive,Enduro | Veteran Male,00:24:10.5,+4:44.70, ,00:04:55.5,260th,00:03:45.6,352nd,00:03:33.5,376th,00:03:36.6,321st=,00:02:37.1,384th,00:02:51.6,416th,00:02:50.4,538th
326th,837,Lee Easton,Meedies Bike Club,Enduro | Master Male,00:24:10.7,+4:44.98, ,00:04:47.3,186th,00:03:54.9,468th,00:04:01.1,728th,00:03:41.7,414th,00:02:28.5,142nd,00:02:40.0,119th,00:02:37.2,282nd
327th,1000,Matthew Wright,Tramptastic Pie Eaters,Enduro | Master Male,00:24:11.2,+4:45.41, ,00:04:57.5,283rd,00:03:45.7,355th=,00:03:37.2,441st=,00:03:35.7,306th,00:02:38.6,430th=,00:02:52.1,428th,00:02:44.3,430th
328th,1053,Mike Allenby,Stage 1 Cycles Hawes,Enduro | Hardtail Male,00:24:11.7,+4:45.90,H,00:04:49.8,198th,00:03:59.6,526th,00:03:27.8,266th=,00:03:44.9,475th,00:02:31.7,216th=,00:02:52.4,437th=,00:02:45.5,454th
329th,1040,Scott Johnson,pmbr,Enduro | Senior Male,00:24:13.3,+4:47.49, ,00:05:00.6,321st,00:03:57.0,494th=,00:03:29.2,299th,00:03:41.8,417th=,00:02:36.7,371st,00:02:48.7,319th,00:02:39.3,320th
330th,969,Dan Bevis,The Bulls - Can't Quit Cartel,Enduro | Master Male,00:24:13.3,+4:47.57, ,00:05:27.0,641st,00:03:40.8,279th,00:03:25.4,229th,00:03:36.8,325th,00:02:36.2,351st=,00:02:47.9,297th,00:02:39.3,316th
331st,1010,Leighton Walker,Hairy Parsons,Enduro | Veteran Male,00:24:13.4,+4:47.59, ,00:05:03.0,343rd,00:03:51.6,429th,00:03:32.0,348th=,00:03:38.6,365th,00:02:35.2,312th=,00:02:48.2,303rd,00:02:44.7,437th
332nd,35,Jonathan Hill,Maxxis MTB,Enduro | Master Male,00:24:14.1,+4:48.30, ,00:04:58.2,291st,00:03:50.2,410th=,00:03:34.0,384th,00:03:44.8,474th,00:02:37.6,395th,00:02:47.8,292nd=,00:02:41.4,368th
333rd,1008,Kris Macsorley,Tweed Valley Wheelers,Enduro | Veteran Male,00:24:14.9,+4:49.11, ,00:05:05.5,376th=,00:03:45.5,350th,00:03:33.2,372nd=,00:03:43.9,457th,00:02:32.1,228th=,00:02:51.5,409th=,00:02:43.1,409th
334th,229,Matthew Oaks,ARMTB,Enduro | Master Male,00:24:15.2,+4:49.42, ,00:04:59.3,309th,00:03:45.3,346th,00:03:32.7,365th,00:03:38.4,363rd,00:02:43.3,571st,00:02:52.2,434th,00:02:43.9,422nd
335th,1069,Daniel Hill,Kineticbikebearings,Enduro | Master Male,00:24:15.2,+4:49.44, ,00:04:58.4,294th,00:04:01.4,555th,00:03:34.1,386th,00:03:38.3,362nd,00:02:31.4,206th,00:02:46.6,264th=,00:02:45.0,442nd
336th,435,Paul Topham,Bad Brains MBC,Enduro | Master Male,00:24:15.4,+4:49.66, ,00:05:08.7,432nd,00:03:43.7,326th=,00:03:36.4,426th,00:03:39.6,384th,00:02:38.0,412th,00:02:51.0,395th,00:02:37.9,292nd
337th,1029,Hannah Saville,Rother Valley Riders,Enduro | Senior Female,00:24:17.0,+4:51.19, ,00:05:00.5,319th,00:03:37.7,246th,00:03:47.0,581st,00:03:41.0,403rd,00:02:35.7,335th=,00:02:53.9,486th,00:02:41.1,361st
338th,775,Jonathan Adamson,Pines pussies,Enduro | Senior Male,00:24:17.1,+4:51.37, ,00:05:03.6,351st,00:03:51.9,433rd,00:03:46.5,578th,00:03:43.8,456th,00:02:31.9,220th,00:02:41.7,151st,00:02:37.6,290th
339th,976,Paul Fay,The Woollybacks,Enduro | Veteran Male,00:24:17.2,+4:51.43, ,00:05:05.6,378th=,00:04:01.2,553rd,00:03:32.6,360th,00:03:35.0,296th=,00:02:34.3,288th,00:02:53.0,457th,00:02:35.4,258th
340th,379,Stuart Raw,Dales bike centre,Enduro | Veteran Male,00:24:17.4,+4:51.63, ,00:04:52.5,222nd,00:03:53.6,456th=,00:03:24.3,210th,00:04:06.6,736th,00:02:40.7,495th,00:02:49.2,332nd,00:02:30.5,177th
341st,1141,Richard Morrison, ,Enduro | Veteran Male,00:24:17.6,+4:51.86, ,00:05:06.9,399th=,00:03:49.2,399th,00:03:40.6,504th,00:03:36.4,317th,00:02:33.6,270th,00:02:48.4,309th,00:02:42.5,397th
342nd,733,David Simpson,No Hope,Enduro | Master Male,00:24:18.6,+4:52.86, ,00:05:04.9,362nd,00:03:56.8,492nd,00:03:30.4,324th,00:03:41.7,415th,00:02:36.1,350th,00:02:50.2,366th=,00:02:38.5,301st
343rd,203,William Clegg,Cafe adventure,Enduro | Master Male,00:24:18.8,+4:52.99, ,00:05:03.1,345th,00:03:41.1,288th,00:03:29.6,311th,00:03:38.9,369th,00:02:41.8,519th,00:02:51.9,421st,00:02:52.2,564th
344th,668,Paul Moorhouse,Midlands Machines,Enduro | Veteran Male,00:24:19.4,+4:53.63, ,00:05:02.6,339th,00:03:58.0,506th,00:03:31.2,334th=,00:03:40.1,392nd,00:02:38.7,432nd=,00:02:49.3,336th=,00:02:39.4,324th
345th,228,Martin Bernstein,Ardshlong,Enduro | Veteran Male,00:24:19.5,+4:53.74, ,00:05:08.0,421st,00:03:44.0,331st,00:03:34.5,394th,00:03:39.6,383rd,00:02:39.6,460th,00:02:52.1,430th,00:02:41.7,373rd
346th,964,Jeb Beresford,Kernow Kamikaze,Enduro | Veteran Male,00:24:19.8,+4:54.01, ,00:05:07.7,419th,00:03:50.3,413th,00:03:16.0,125th,00:04:15.5,804th,00:02:32.4,237th,00:02:44.2,200th,00:02:33.6,226th
347th,666,Jonathan Layland,Mid life crisis,Enduro | Veteran Male,00:24:20.2,+4:54.46, ,00:05:20.6,570th,00:03:51.2,426th,00:03:28.7,287th=,00:03:36.5,319th,00:02:39.3,450th,00:02:51.1,397th=,00:02:32.8,209th
348th,430,Ian Gray,Expert Bike Repair,Enduro | Master Male,00:24:20.7,+4:54.90, ,00:05:11.2,467th,00:03:53.6,456th=,00:03:30.0,314th,00:03:39.2,375th=,00:02:35.3,318th,00:02:44.7,214th,00:02:46.6,476th
349th,114,Martin Hodgson,D&M Fabrication,Enduro | Master Male,00:24:21.2,+4:55.42, ,00:04:58.1,289th,00:03:43.4,323rd,00:03:39.4,487th=,00:03:43.7,455th,00:02:38.5,426th,00:02:56.8,563rd,00:02:41.3,365th
350th,1106,Jonathan Harmer, ,Enduro | Master Male,00:24:21.3,+4:55.54, ,00:04:52.2,221st,00:03:54.4,465th,00:03:36.4,425th,00:03:45.5,484th,00:02:36.2,356th,00:02:55.4,525th,00:02:41.2,364th
351st,5480,Lee Deere,Yorkshire Cycle Hub,Enduro | Senior Male,00:24:21.6,+4:55.86, ,00:05:10.0,456th,00:03:38.3,253rd,00:03:37.6,450th,00:03:40.3,395th,00:02:38.4,424th,00:02:50.3,372nd,00:02:46.7,478th
352nd,628,Michael Massos,Malvern Mincers,Enduro | Veteran Male,00:24:21.9,+4:56.16, ,00:05:00.1,316th,00:03:45.5,349th,00:03:36.8,433rd=,00:03:46.4,502nd,00:02:42.8,554th,00:02:54.0,490th,00:02:36.3,273rd
353rd,781,Dominic Martin,PMBR,Enduro | Master Male,00:24:22.0,+4:56.22, ,00:05:02.3,336th,00:03:50.5,415th,00:03:38.5,472nd,00:03:39.8,388th,00:02:36.9,376th=,00:02:55.5,526th,00:02:38.5,302nd=
354th,259,David Nicholson,B&DCC,Enduro | Master Male,00:24:22.0,+4:56.27, ,00:05:00.8,322nd,00:03:52.5,437th,00:03:28.4,283rd,00:03:36.6,320th,00:02:37.9,407th,00:02:54.6,502nd,00:02:51.4,555th
355th,758,Jamie Peel,oi oi,Enduro | Master Male,00:24:23.8,+4:57.98, ,00:05:04.0,352nd,00:04:17.4,707th,00:03:33.8,380th,00:03:30.3,242nd,00:02:32.3,234th,00:02:47.6,287th,00:02:38.3,299th
356th,734,Jonathan Sayer,No Hope,Enduro | Veteran Male,00:24:24.9,+4:59.17, ,00:05:00.6,320th,00:03:43.8,329th=,00:03:31.5,340th=,00:03:42.4,430th=,00:02:41.5,514th,00:02:59.3,628th,00:02:45.8,460th
357th,74,Matthew Fox,#dickheadsyndicate,Enduro | Veteran Male,00:24:24.9,+4:59.18, ,00:05:14.7,504th,00:03:49.1,396th,00:03:29.6,310th,00:03:38.0,353rd=,00:02:42.1,528th,00:02:55.2,520th=,00:02:36.1,270th=
